courseid,chapterid,sectionid,unitid,subunitid,-,topic,-,chapter,-,Cognitive level,-,description_of_topic,-
13,2,1,2,,-,OpenMP,-,Multi-thread programming,-,Applying,-,,-
13,2,2,,,-,Race condition,-,Multi-thread programming,-,Analyzing,-,,-
13,2,3,,,-,Parallelism options,-,Multi-thread programming,-,Applying,-,,-
13,3,,,,-,GPU,-,GPU programming,-,Understanding,-,,-
13,3,1,,,-,GPU introduction,-,GPU programming,-,Understanding,-,,-
13,3,1,1,,-,GPU programming model,-,GPU programming,-,Understanding,-,,-
13,3,2,,,-,CUDA,-,GPU programming,-,Applying,-,,-
13,3,2,1,,-,Concepts,-,GPU programming,-,Understanding,-,"concepts include thread, block and Grid",-
13,3,2,2,,-,Programming model,-,GPU programming,-,Applying,-,,-
13,3,2,2,,-,Optimization,-,GPU programming,-,Applying,-,"e.g., using streaming, acynchronious copy, increase occupancy, avoid divergency, smart synchronization, memory coalescing",-
13,3,2,3,,-,Performance reasoning,-,GPU programming,-,Analyzing,-,,-
13,4,,,,-,MPI,-,MPI programming,-,Applying,-,,-
13,4,1,,,-,MPI introduction,-,MPI programming,-,Understanding,-,,-
13,4,2,,,-,MPI programming  model,-,MPI programming,-,Understanding,-,,-
13,4,3,,,-,MPI communication,-,MPI programming,-,Understanding,-,,-
13,4,4,,,-,MPI Data Model,-,MPI programming,-,Understanding,-,,-
13,4,5,,,-,Derived data type,-,MPI programming,-,Understanding,-,,-
13,5,,,,-,Cloud_DApp_Application,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,1,,,-,Cloud,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,1,1,,-,Virtualization,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,1,2,,-,Service,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,,,-,DApp,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,1,,-,Decentralization,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,2,,-,Blockchain,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,2,1,-,Hash,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,2,2,-,Address,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,2,3,-,Consensus,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,2,4,-,Incentive,-,Cloud and decentralized computing,-,Understanding,-,,-
13,5,2,2,5,-,Smart contract,-,Cloud and decentralized computing,-,Applying,-,,-
13,5,2,2,6,-,DApp,-,Cloud and decentralized computing,-,Applying,-,,-
